[2024-08-05 00:12:45] 	POST /api/auth/signin - [body: {"username":"0372976121","password":"123456"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:45:12] 	POST /api/order/online - [body: {"menu":[{"_id":3,"quantity":1},{"_id":5,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"àdsfsdf","phone_number":"afsdfds","province":"Thành phố Hồ Chí Minh","district":"Quận 5","ward":"Phường 08","latitude":"10.7559499","longitude":"106.6714096","address":"qưeqwewq"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:45:13] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afcc38c4dab44e7c52ca4c","amount":80000}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:45:43] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6714096","latitude":"10.7559499"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:46:16] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6717529","latitude":"10.7539261"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:46:24] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"adsadsa","phone_number":"adsad","province":"Thành phố Hồ Chí Minh","district":"Quận 5","ward":"Phường 07","latitude":"10.7539261","longitude":"106.6717529","address":"adsadsad"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 01:46:24] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afcc80c4dab44e7c52ca58","amount":91500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:09:41] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6390943","latitude":"10.7385367"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:09:48] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"ằẻwe","phone_number":"qưeqweqw","province":"Thành phố Hồ Chí Minh","district":"Quận 6","ward":"Phường 07","latitude":"10.7385367","longitude":"106.6390943","address":"eqeqwe"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:09:49] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afd1fdc4dab44e7c52ca60","amount":105500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:11:54] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.702373","latitude":"10.7636653"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:11:59] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"qeqwewq","phone_number":"qeqweqw","province":"Thành phố Hồ Chí Minh","district":"Quận 4","ward":"Phường 09","latitude":"10.7636653","longitude":"106.702373","address":"qeqwewq"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:11:59] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afd27fc4dab44e7c52ca68","amount":89500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:13:20] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6717529","latitude":"10.7539261"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:13:26] 	POST /api/order/online - [body: {"menu":[{"_id":3,"quantity":2}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"qewqe","province":"Thành phố Hồ Chí Minh","district":"Quận 5","ward":"Phường 07","latitude":"10.7539261","longitude":"106.6717529","phone_number":"qewqeqw","address":"qeqweqwe"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:13:27] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afd2d6c4dab44e7c52ca72","amount":67500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:14:15] 	POST /api/order/rating - [body: {"orderId":"66afd2d6c4dab44e7c52ca72","order":[{"menuId":3,"comment":"tretre","rating":4}]}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:17:25] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6717529","latitude":"10.7539261"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:17:31] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":2}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"đá","province":"Thành phố Hồ Chí Minh","district":"Quận 5","ward":"Phường 07","latitude":"10.7539261","longitude":"106.6717529","phone_number":"qưeqweqw","address":"qeqeqw"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:17:31] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afd3cbc4dab44e7c52ca7e","amount":163500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:18:15] 	POST /api/order/rating - [body: {"orderId":"66afd3cbc4dab44e7c52ca7e","order":[{"menuId":1,"comment":"eqwew","rating":4}]}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:38:18] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.643973","latitude":"10.7567018"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:38:23] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1}],"note":"","payment_method":"bank","promotion_id":2,"delivery":{"name":"qeqweq","phone_number":"qeqwe","province":"Thành phố Hồ Chí Minh","district":"Quận 11","ward":"Phường 02","latitude":"10.7567018","longitude":"106.643973","address":"ưqeqweqw"},"time_receive":null}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:38:24] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afd8b034e3bb35e4283496","amount":105500}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:40:52] 	POST /api/admin/auth/signin - [body: {"username":"0123456789","password":"123456"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:41:01] 	POST /api/auth/signin - [body: {"username":"0372976121","password":"123456"}] -  [userid: 0123456789] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:41:14] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:41:21] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":3}],"note":"","payment_method":"cod","promotion_id":1,"delivery":{"name":"ggg","province":"Thành phố Hồ Chí Minh","district":"Quận 3","ward":"Phường 09","latitude":"10.7826368","longitude":"106.6796064","address":"gggg","phone_number":"gggg"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:42:09] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6736825","latitude":"10.7630306"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:42:22] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":2}],"note":"","payment_method":"cod","promotion_id":2,"delivery":{"province":"Thành phố Hồ Chí Minh","district":"Quận 10","ward":"Phường 02","latitude":"10.7630306","longitude":"106.6736825","address":"eqqweqw","name":"qeqwe","phone_number":"qeqwe"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:48:51] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:49:06] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1,"note":"wqeqwe"}],"note":"qweqwe","payment_method":"cod","promotion_id":2,"delivery":{"name":"qewq","province":"Thành phố Hồ Chí Minh","district":"Quận 3","ward":"Phường 05","latitude":"10.7718864","longitude":"106.6857862","address":"qeqweqwe","phone_number":"qeqwe"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:56:02] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:56:03] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:56:47] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:56:48] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:58:29] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:58:41] 	POST /api/order/online - [body: {"menu":[{"_id":1,"quantity":1,"note":"wqeqwe"}],"note":"qweqwe","payment_method":"cod","promotion_id":2,"delivery":{"name":"qewq","province":"Thành phố Hồ Chí Minh","district":"Quận 3","ward":"Phường 05","latitude":"10.7718864","longitude":"106.6857862","address":"qeqweqwe","phone_number":"qeqwe"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:59:22] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 02:59:22] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:00:46] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:00:46] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:01:09] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:01:10] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:01:25] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:02:05] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6796064","latitude":"10.7826368"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:02:05] 	POST /api/order/online/shipping-fee - [body: {"longitude":"106.6857862","latitude":"10.7718864"}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:02:12] 	POST /api/order/online - [body: {"menu":[{"_id":4,"quantity":1}],"note":"","payment_method":"cod","promotion_id":1,"delivery":{"district":"Quận 3","ward":"Phường 05","latitude":"10.7718864","longitude":"106.6857862","address":"sadasdas","name":"adasdas","phone_number":"adasdas","province":"Thành phố Hồ Chí Minh"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:02:59] 	POST /api/order/online - [body: {"menu":[{"_id":4,"quantity":1},{"_id":5,"quantity":2}],"note":"","payment_method":"bank","promotion_id":1,"delivery":{"district":"Quận 3","ward":"Phường 05","latitude":"10.7718864","longitude":"106.6857862","address":"sadasdas","name":"adasdas","phone_number":"adasdas","province":"Thành phố Hồ Chí Minh"},"time_receive":null}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:02:59] 	POST /api/payment/create-payment-url - [body: {"orderId":"66afde73c8b9fa0b081e5a44","amount":143000}] -  [userid: 0372976121] - [ipAddress: ::1 - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
[2024-08-05 03:03:49] 	POST /api/order/rating - [body: {"orderId":"66afde73c8b9fa0b081e5a44","order":[{"menuId":4,"comment":"","rating":3},{"menuId":5,"comment":"","rating":0}]}] -  [userid: 0372976121] - [ipAddress: unknown - deviceId: unknown - userAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36]
